League,Season,Position,Team,Matches,Wins,Draws,Losses,GoalsScored,GoalsConceded,GoalDiff,FinalPoints
Premier League,2015/16,2 ,Arsenal,38,20,11,7,65,36,29,71
Premier League,2015/16,20 ,Aston Villa,38,3,8,27,27,76,-49,17
Premier League,2015/16,16 ,Bournemouth,38,11,9,18,45,67,-22,42
Premier League,2015/16,10 ,Chelsea,38,12,14,12,59,53,6,50
Premier League,2015/16,15 ,Crystal Palace,38,11,9,18,39,51,-12,42
Premier League,2015/16,11 ,Everton,38,11,14,13,59,55,4,47
Premier League,2015/16,1 ,Leicester City,38,23,12,3,68,36,32,81
Premier League,2015/16,8 ,Liverpool,38,16,12,10,63,50,13,60
Premier League,2015/16,4 ,Manchester City,38,19,9,10,71,41,30,66
Premier League,2015/16,5 ,Manchester United,38,19,9,10,49,35,14,66
Premier League,2015/16,18 ,Newcastle United,38,9,10,19,44,65,-21,37
Premier League,2015/16,19 ,Norwich City,38,9,7,22,39,67,-28,34
Premier League,2015/16,6 ,Southampton,38,18,9,11,59,41,18,63
Premier League,2015/16,9 ,Stoke City,38,14,9,15,41,55,-14,51
Premier League,2015/16,17 ,Sunderland,38,9,12,17,48,62,-14,39
Premier League,2015/16,12 ,Swansea City,38,12,11,15,42,52,-10,47
Premier League,2015/16,3 ,Tottenham Hotspur,38,19,13,6,69,35,34,70
Premier League,2015/16,13 ,Watford,38,12,9,17,40,50,-10,45
Premier League,2015/16,14 ,West Bromwich Albion,38,10,13,15,34,48,-14,43
Premier League,2015/16,7 ,West Ham United,38,16,14,8,65,51,14,62
Premier League,2016/17,5 ,Arsenal,38,23,6,9,77,44,33,75
Premier League,2016/17,9 ,Bournemouth,38,12,10,16,55,67,-12,46
Premier League,2016/17,16 ,Burnley,38,11,7,20,39,55,-16,40
Premier League,2016/17,1 ,Chelsea,38,30,3,5,85,33,52,93
Premier League,2016/17,14 ,Crystal Palace,38,12,5,21,50,63,-13,41
Premier League,2016/17,7 ,Everton,38,17,10,11,62,44,18,61
Premier League,2016/17,18 ,Hull City,38,9,7,22,37,80,-43,34
Premier League,2016/17,12 ,Leicester City,38,12,8,18,48,63,-15,44
Premier League,2016/17,4 ,Liverpool,38,22,10,6,78,42,36,76
Premier League,2016/17,3 ,Manchester City,38,23,9,6,80,39,41,78
Premier League,2016/17,6 ,Manchester United,38,18,15,5,54,29,25,69
Premier League,2016/17,19 ,Middlesbrough,38,5,13,20,27,53,-26,28
Premier League,2016/17,8 ,Southampton,38,12,10,16,41,48,-7,46
Premier League,2016/17,13 ,Stoke City,38,11,11,16,41,56,-15,44
Premier League,2016/17,20 ,Sunderland,38,6,6,26,29,69,-40,24
Premier League,2016/17,15 ,Swansea City,38,12,5,21,45,70,-25,41
Premier League,2016/17,2 ,Tottenham Hotspur,38,26,8,4,86,26,60,86
Premier League,2016/17,17 ,Watford,38,11,7,20,40,68,-28,40
Premier League,2016/17,10 ,West Bromwich Albion,38,12,9,17,43,51,-8,45
Premier League,2016/17,11 ,West Ham United,38,12,9,17,47,64,-17,45
Premier League,2017/18,6 ,Arsenal,38,19,6,13,74,51,23,63
Premier League,2017/18,12 ,Bournemouth,38,11,11,16,45,61,-16,44
Premier League,2017/18,15 ,Brighton,38,9,13,16,34,54,-20,40
Premier League,2017/18,7 ,Burnley,38,14,12,12,36,39,-3,54
Premier League,2017/18,5 ,Chelsea,38,21,7,10,62,38,24,70
Premier League,2017/18,11 ,Crystal Palace,38,11,11,16,45,55,-10,44
Premier League,2017/18,8 ,Everton,38,13,10,15,44,58,-14,49
Premier League,2017/18,16 ,Huddersfield Town,38,9,10,19,28,58,-30,37
Premier League,2017/18,9 ,Leicester City,38,12,11,15,56,60,-4,47
Premier League,2017/18,4 ,Liverpool,38,21,12,5,84,38,46,75
Premier League,2017/18,1 ,Manchester City,38,32,4,2,106,27,79,100
Premier League,2017/18,2 ,Manchester United,38,25,6,7,68,28,40,81
Premier League,2017/18,10 ,Newcastle United,38,12,8,18,39,47,-8,44
Premier League,2017/18,17 ,Southampton,38,7,15,16,37,56,-19,36
Premier League,2017/18,19 ,Stoke City,38,7,12,19,35,68,-33,33
Premier League,2017/18,18 ,Swansea City,38,8,9,21,28,56,-28,33
Premier League,2017/18,3 ,Tottenham Hotspur,38,23,8,7,74,36,38,77
Premier League,2017/18,14 ,Watford,38,11,8,19,44,64,-20,41
Premier League,2017/18,20 ,West Bromwich Albion,38,6,13,19,31,56,-25,31
Premier League,2017/18,13 ,West Ham United,38,10,12,16,48,68,-20,42
Premier League,2018/19,5 ,Arsenal,38,21,7,10,73,51,22,70
Premier League,2018/19,14 ,Bournemouth,38,13,6,19,56,70,-14,45
Premier League,2018/19,17 ,Brighton,38,9,9,20,35,60,-25,36
Premier League,2018/19,15 ,Burnley,38,11,7,20,45,68,-23,40
Premier League,2018/19,18 ,Cardiff City,38,10,4,24,34,69,-35,34
Premier League,2018/19,3 ,Chelsea,38,21,9,8,63,39,24,72
Premier League,2018/19,12 ,Crystal Palace,38,14,7,17,51,53,-2,49
Premier League,2018/19,8 ,Everton,38,15,9,14,54,46,8,54
Premier League,2018/19,19 ,Fulham,38,7,5,26,34,81,-47,26
Premier League,2018/19,20 ,Huddersfield Town,38,3,7,28,22,76,-54,16
Premier League,2018/19,9 ,Leicester City,38,15,7,16,51,48,3,52
Premier League,2018/19,2 ,Liverpool,38,30,7,1,89,22,67,97
Premier League,2018/19,1 ,Manchester City,38,32,2,4,95,23,72,98
Premier League,2018/19,6 ,Manchester United,38,19,9,10,65,54,11,66
Premier League,2018/19,13 ,Newcastle United,38,12,9,17,42,48,-6,45
Premier League,2018/19,16 ,Southampton,38,9,12,17,45,65,-20,39
Premier League,2018/19,4 ,Tottenham Hotspur,38,23,2,13,67,39,28,71
Premier League,2018/19,11 ,Watford,38,14,8,16,52,59,-7,50
Premier League,2018/19,10 ,West Ham United,38,15,7,16,52,55,-3,52
Premier League,2018/19,7 ,Wolverhampton Wanderers,38,16,9,13,47,46,1,57
Premier League,2019/20,8 ,Arsenal,38,14,14,10,56,48,8,56
Premier League,2019/20,17 ,Aston Villa,38,9,8,21,41,67,-26,35
Premier League,2019/20,18 ,Bournemouth,38,9,7,22,40,65,-25,34
Premier League,2019/20,15 ,Brighton,38,9,14,15,39,54,-15,41
Premier League,2019/20,10 ,Burnley,38,15,9,14,43,50,-7,54
Premier League,2019/20,4 ,Chelsea,38,20,6,12,69,54,15,66
Premier League,2019/20,14 ,Crystal Palace,38,11,10,17,31,50,-19,43
Premier League,2019/20,12 ,Everton,38,13,10,15,44,56,-12,49
Premier League,2019/20,5 ,Leicester City,38,18,8,12,67,41,26,62
Premier League,2019/20,1 ,Liverpool,38,32,3,3,85,33,52,99
Premier League,2019/20,2 ,Manchester City,38,26,3,9,102,35,67,81
Premier League,2019/20,3 ,Manchester United,38,18,12,8,66,36,30,66
Premier League,2019/20,13 ,Newcastle United,38,11,11,16,38,58,-20,44
Premier League,2019/20,20 ,Norwich City,38,5,6,27,26,75,-49,21
Premier League,2019/20,9 ,Sheffield United,38,14,12,12,39,39,0,54
Premier League,2019/20,11 ,Southampton,38,15,7,16,51,60,-9,52
Premier League,2019/20,6 ,Tottenham Hotspur,38,16,11,11,61,47,14,59
Premier League,2019/20,19 ,Watford,38,8,10,20,36,64,-28,34
Premier League,2019/20,16 ,West Ham United,38,10,9,19,49,62,-13,39
Premier League,2019/20,7 ,Wolverhampton Wanderers,38,15,14,9,51,40,11,59
La Liga,2015/16,5 ,Athletic Bilbao,38,18,8,12,58,45,13,62
La Liga,2015/16,3 ,Atletico Madrid,38,28,4,6,63,18,45,88
La Liga,2015/16,6 ,Celta Vigo,38,17,9,12,51,59,-8,60
La Liga,2015/16,15 ,Deportivo La Coruna,38,8,18,12,45,61,-16,42
La Liga,2015/16,1 ,FC Barcelona,38,29,4,5,112,29,83,91
La Liga,2015/16,19 ,Getafe CF,38,9,9,20,37,67,-30,36
La Liga,2015/16,16 ,Granada CF,38,10,9,19,46,69,-23,39
La Liga,2015/16,20 ,Levante UD,38,8,8,22,37,70,-33,32
La Liga,2015/16,8 ,Malaga CF,38,12,12,14,38,35,3,48
La Liga,2015/16,18 ,Rayo Vallecano,38,9,11,18,52,73,-21,38
La Liga,2015/16,13 ,Espanyol,38,12,7,19,40,74,-34,43
La Liga,2015/16,10 ,Real Betis Balompie,38,11,12,15,34,52,-18,45
La Liga,2015/16,2 ,Real Madrid,38,28,6,4,110,34,76,90
La Liga,2015/16,9 ,Real Sociedad,38,13,9,16,45,48,-3,48
La Liga,2015/16,14 ,SD Eibar,38,11,10,17,49,61,-12,43
La Liga,2015/16,7 ,Sevilla FC,38,14,10,14,51,50,1,52
La Liga,2015/16,17 ,Sporting Gijon,38,10,9,19,40,62,-22,39
La Liga,2015/16,11 ,UD Las Palmas,38,12,8,18,45,53,-8,44
La Liga,2015/16,12 ,Valencia CF,38,11,11,16,46,48,-2,44
La Liga,2015/16,4 ,Villarreal CF,38,18,10,10,44,35,9,64
La Liga,2016/17,7 ,Athletic Bilbao,38,19,6,13,53,43,10,63
La Liga,2016/17,3 ,Atletico Madrid,38,23,9,6,70,27,43,78
La Liga,2016/17,19 ,CA Osasuna,38,4,10,24,40,94,-54,22
La Liga,2016/17,17 ,CD Leganes,38,8,11,19,36,55,-19,35
La Liga,2016/17,13 ,Celta Vigo,38,13,6,19,53,69,-16,45
La Liga,2016/17,9 ,Deportivo Alaves,38,14,13,11,41,43,-2,55
La Liga,2016/17,16 ,Deportivo La Coruna,38,8,12,18,43,61,-18,36
La Liga,2016/17,2 ,FC Barcelona,38,28,6,4,116,37,79,90
La Liga,2016/17,20 ,Granada CF,38,4,8,26,30,82,-52,20
La Liga,2016/17,11 ,Malaga CF,38,12,10,16,49,55,-6,46
La Liga,2016/17,8 ,Espanyol,38,15,11,12,49,50,-1,56
La Liga,2016/17,15 ,Real Betis Balompie,38,10,9,19,41,64,-23,39
La Liga,2016/17,1 ,Real Madrid,38,29,6,3,106,41,65,93
La Liga,2016/17,6 ,Real Sociedad,38,19,7,12,59,53,6,64
La Liga,2016/17,10 ,SD Eibar,38,15,9,14,56,51,5,54
La Liga,2016/17,4 ,Sevilla FC,38,21,9,8,69,49,20,72
La Liga,2016/17,18 ,Sporting Gijon,38,7,10,21,42,72,-30,31
La Liga,2016/17,14 ,UD Las Palmas,38,10,9,19,53,74,-21,39
La Liga,2016/17,12 ,Valencia CF,38,13,7,18,56,65,-9,46
La Liga,2016/17,5 ,Villarreal CF,38,19,10,9,56,33,23,67
La Liga,2017/18,16 ,Athletic Bilbao,38,10,13,15,41,49,-8,43
La Liga,2017/18,2 ,Atletico Madrid,38,23,10,5,58,22,36,79
La Liga,2017/18,17 ,CD Leganes,38,12,7,19,34,51,-17,43
La Liga,2017/18,12 ,Celta Vigo,38,13,10,15,59,60,-1,49
La Liga,2017/18,14 ,Deportivo Alaves,38,15,2,21,40,50,-10,47
La Liga,2017/18,18 ,Deportivo La Coruna,38,6,11,21,38,76,-38,29
La Liga,2017/18,1 ,FC Barcelona,38,28,9,1,99,29,70,93
La Liga,2017/18,8 ,Getafe CF,38,15,10,13,42,33,9,55
La Liga,2017/18,10 ,Girona FC,38,14,9,15,50,59,-9,51
La Liga,2017/18,15 ,Levante UD,38,11,13,14,44,58,-14,46
La Liga,2017/18,20 ,Malaga CF,38,5,5,28,24,61,-37,20
La Liga,2017/18,11 ,Espanyol,38,12,13,13,36,42,-6,49
La Liga,2017/18,6 ,Real Betis Balompie,38,18,6,14,60,61,-1,60
La Liga,2017/18,3 ,Real Madrid,38,22,10,6,94,44,50,76
La Liga,2017/18,13 ,Real Sociedad,38,14,7,17,66,59,7,49
La Liga,2017/18,9 ,SD Eibar,38,14,9,15,44,50,-6,51
La Liga,2017/18,7 ,Sevilla FC,38,17,7,14,49,58,-9,58
La Liga,2017/18,19 ,UD Las Palmas,38,5,7,26,24,74,-50,22
La Liga,2017/18,4 ,Valencia CF,38,22,7,9,65,38,27,73
La Liga,2017/18,5 ,Villarreal CF,38,18,7,13,57,50,7,61
La Liga,2018/19,8 ,Athletic Bilbao,38,13,14,11,41,45,-4,53
La Liga,2018/19,2 ,Atletico Madrid,38,22,10,6,55,29,26,76
La Liga,2018/19,13 ,CD Leganes,38,11,12,15,37,43,-6,45
La Liga,2018/19,17 ,Celta Vigo,38,10,11,17,53,62,-9,41
La Liga,2018/19,11 ,Deportivo Alaves,38,13,11,14,39,50,-11,50
La Liga,2018/19,1 ,FC Barcelona,38,26,9,3,90,36,54,87
La Liga,2018/19,5 ,Getafe CF,38,15,14,9,48,35,13,59
La Liga,2018/19,18 ,Girona FC,38,9,10,19,37,53,-16,37
La Liga,2018/19,15 ,Levante UD,38,11,11,16,59,66,-7,44
La Liga,2018/19,20 ,Rayo Vallecano,38,8,8,22,41,70,-29,32
La Liga,2018/19,7 ,Espanyol,38,14,11,13,48,50,-2,53
La Liga,2018/19,10 ,Real Betis Balompie,38,14,8,16,44,52,-8,50
La Liga,2018/19,3 ,Real Madrid,38,21,5,12,63,46,17,68
La Liga,2018/19,9 ,Real Sociedad,38,13,11,14,35,36,-1,50
La Liga,2018/19,16 ,Real Valladolid CF,38,10,11,17,32,51,-19,41
La Liga,2018/19,12 ,SD Eibar,38,11,14,13,46,50,-4,47
La Liga,2018/19,19 ,SD Huesca,38,7,12,19,43,65,-22,33
La Liga,2018/19,6 ,Sevilla FC,38,17,8,13,62,47,15,59
La Liga,2018/19,4 ,Valencia CF,38,15,16,7,51,35,16,61
La Liga,2018/19,14 ,Villarreal CF,38,10,14,14,49,52,-3,44
La Liga,2019/20,11 ,Athletic Bilbao,38,13,12,13,41,38,3,51
La Liga,2019/20,4 ,Atletico Madrid,38,18,16,4,51,27,24,70
La Liga,2019/20,10 ,CA Osasuna,38,13,13,12,46,54,-8,52
La Liga,2019/20,18 ,CD Leganes,38,8,12,18,30,51,-21,36
La Liga,2019/20,17 ,Celta Vigo,38,7,16,15,37,49,-12,37
La Liga,2019/20,16 ,Deportivo Alaves,38,10,9,19,34,59,-25,39
La Liga,2019/20,2 ,FC Barcelona,38,25,7,6,86,38,48,82
La Liga,2019/20,8 ,Getafe CF,38,14,12,12,43,37,6,54
La Liga,2019/20,7 ,Granada CF,38,16,8,14,52,45,7,56
La Liga,2019/20,12 ,Levante UD,38,14,7,17,47,53,-6,49
La Liga,2019/20,20 ,Espanyol,38,5,10,23,27,58,-31,25
La Liga,2019/20,19 ,RCD Mallorca,38,9,6,23,40,65,-25,33
La Liga,2019/20,15 ,Real Betis Balompie,38,10,11,17,48,60,-12,41
La Liga,2019/20,1 ,Real Madrid,38,26,9,3,70,25,45,87
La Liga,2019/20,6 ,Real Sociedad,38,16,8,14,56,48,8,56
La Liga,2019/20,14 ,Real Valladolid CF,38,9,15,14,32,43,-11,42
La Liga,2019/20,13 ,SD Eibar,38,11,9,18,39,56,-17,42
La Liga,2019/20,3 ,Sevilla FC,38,19,13,6,54,34,20,70
La Liga,2019/20,9 ,Valencia CF,38,14,11,13,46,53,-7,53
La Liga,2019/20,5 ,Villarreal CF,38,18,6,14,63,49,14,60
Bundesliga,2015/16,9 ,FC Koln,34,10,13,11,38,42,-4,43
Bundesliga,2015/16,6 ,FSV Mainz 05,34,14,8,12,46,42,4,50
Bundesliga,2015/16,3 ,Bayer Leverkusen,34,18,6,10,56,40,16,60
Bundesliga,2015/16,1 ,Bayern Munich,34,28,4,2,80,17,63,88
Bundesliga,2015/16,2 ,Borussia Dortmund,34,24,6,4,82,34,48,78
Bundesliga,2015/16,4 ,Borussia Monchengladbach,34,17,4,13,67,50,17,55
Bundesliga,2015/16,16 ,Eintracht Frankfurt,34,9,9,16,34,52,-18,36
Bundesliga,2015/16,12 ,FC Augsburg,34,9,11,14,42,52,-10,38
Bundesliga,2015/16,11 ,FC Ingolstadt 04,34,10,10,14,33,42,-9,40
Bundesliga,2015/16,5 ,FC Schalke 04,34,15,7,12,51,49,2,52
Bundesliga,2015/16,10 ,Hamburger SV,34,11,8,15,40,46,-6,41
Bundesliga,2015/16,18 ,Hannover 96,34,7,4,23,31,62,-31,25
Bundesliga,2015/16,7 ,Hertha BSC,34,14,8,12,42,42,0,50
Bundesliga,2015/16,14 ,SV Darmstadt 98,34,9,11,14,38,53,-15,38
Bundesliga,2015/16,13 ,SV Werder Bremen,34,10,8,16,50,65,-15,38
Bundesliga,2015/16,15 ,TSG 1899 Hoffenheim,34,9,10,15,39,54,-15,37
Bundesliga,2015/16,17 ,VfB Stuttgart,34,9,6,19,50,75,-25,33
Bundesliga,2015/16,8 ,VfL Wolfsburg,34,12,9,13,47,49,-2,45
Bundesliga,2016/17,5 ,FC Koln,34,12,13,9,51,42,9,49
Bundesliga,2016/17,15 ,FSV Mainz 05,34,10,7,17,44,55,-11,37
Bundesliga,2016/17,12 ,Bayer Leverkusen,34,11,8,15,53,55,-2,41
Bundesliga,2016/17,1 ,Bayern Munich,34,25,7,2,89,22,67,82
Bundesliga,2016/17,3 ,Borussia Dortmund,34,18,10,6,72,40,32,64
Bundesliga,2016/17,9 ,Borussia Monchengladbach,34,12,9,13,45,49,-4,45
Bundesliga,2016/17,11 ,Eintracht Frankfurt,34,11,9,14,36,43,-7,42
Bundesliga,2016/17,13 ,FC Augsburg,34,9,11,14,35,51,-16,38
Bundesliga,2016/17,17 ,FC Ingolstadt 04,34,8,8,18,36,57,-21,32
Bundesliga,2016/17,10 ,FC Schalke 04,34,11,10,13,45,40,5,43
Bundesliga,2016/17,14 ,Hamburger SV,34,10,8,16,33,61,-28,38
Bundesliga,2016/17,6 ,Hertha BSC,34,15,4,15,43,47,-4,49
Bundesliga,2016/17,2 ,RB Leipzig,34,20,7,7,66,39,27,67
Bundesliga,2016/17,7 ,SC Freiburg,34,14,6,14,42,60,-18,48
Bundesliga,2016/17,18 ,SV Darmstadt 98,34,7,4,23,28,63,-35,25
Bundesliga,2016/17,8 ,SV Werder Bremen,34,13,6,15,61,64,-3,45
Bundesliga,2016/17,4 ,TSG 1899 Hoffenheim,34,16,14,4,64,37,27,62
Bundesliga,2016/17,16 ,VfL Wolfsburg,34,10,7,17,34,52,-18,37
Bundesliga,2017/18,18 ,FC Koln,34,5,7,22,35,70,-35,22
Bundesliga,2017/18,14 ,FSV Mainz 05,34,9,9,16,38,52,-14,36
Bundesliga,2017/18,5 ,Bayer Leverkusen,34,15,10,9,58,44,14,55
Bundesliga,2017/18,1 ,Bayern Munich,34,27,3,4,92,28,64,84
Bundesliga,2017/18,4 ,Borussia Dortmund,34,15,10,9,64,47,17,55
Bundesliga,2017/18,9 ,Borussia Monchengladbach,34,13,8,13,47,52,-5,47
Bundesliga,2017/18,8 ,Eintracht Frankfurt,34,14,7,13,45,45,0,49
Bundesliga,2017/18,12 ,FC Augsburg,34,10,11,13,43,46,-3,41
Bundesliga,2017/18,2 ,FC Schalke 04,34,18,9,7,53,37,16,63
Bundesliga,2017/18,17 ,Hamburger SV,34,8,7,19,29,53,-24,31
Bundesliga,2017/18,13 ,Hannover 96,34,10,9,15,44,54,-10,39
Bundesliga,2017/18,10 ,Hertha BSC,34,10,13,11,43,46,-3,43
Bundesliga,2017/18,6 ,RB Leipzig,34,15,8,11,57,53,4,53
Bundesliga,2017/18,15 ,SC Freiburg,34,8,12,14,32,56,-24,36
Bundesliga,2017/18,11 ,SV Werder Bremen,34,10,12,12,37,40,-3,42
Bundesliga,2017/18,3 ,TSG 1899 Hoffenheim,34,15,10,9,66,48,18,55
Bundesliga,2017/18,7 ,VfB Stuttgart,34,15,6,13,36,36,0,51
Bundesliga,2017/18,16 ,VfL Wolfsburg,34,6,15,13,36,48,-12,33
Bundesliga,2018/19,18 ,FC Nurnberg,34,3,10,21,26,68,-42,19
Bundesliga,2018/19,12 ,FSV Mainz 05,34,12,7,15,46,57,-11,43
Bundesliga,2018/19,4 ,Bayer Leverkusen,34,18,4,12,69,52,17,58
Bundesliga,2018/19,1 ,Bayern Munich,34,24,6,4,88,32,56,78
Bundesliga,2018/19,2 ,Borussia Dortmund,34,23,7,4,81,44,37,76
Bundesliga,2018/19,5 ,Borussia Monchengladbach,34,16,7,11,55,42,13,55
Bundesliga,2018/19,7 ,Eintracht Frankfurt,34,15,9,10,60,48,12,54
Bundesliga,2018/19,15 ,FC Augsburg,34,8,8,18,51,71,-20,32
Bundesliga,2018/19,14 ,FC Schalke 04,34,8,9,17,37,55,-18,33
Bundesliga,2018/19,10 ,Fortuna Dusseldorf,34,13,5,16,49,65,-16,44
Bundesliga,2018/19,17 ,Hannover 96,34,5,6,23,32,72,-40,21
Bundesliga,2018/19,11 ,Hertha BSC,34,11,10,13,49,57,-8,43
Bundesliga,2018/19,3 ,RB Leipzig,34,19,9,6,63,29,34,66
Bundesliga,2018/19,13 ,SC Freiburg,34,8,12,14,46,61,-15,36
Bundesliga,2018/19,8 ,SV Werder Bremen,34,14,11,9,58,49,9,53
Bundesliga,2018/19,9 ,TSG 1899 Hoffenheim,34,13,12,9,70,52,18,51
Bundesliga,2018/19,16 ,VfB Stuttgart,34,7,7,20,32,70,-38,28
Bundesliga,2018/19,6 ,VfL Wolfsburg,34,16,7,11,62,50,12,55
Bundesliga,2019/20,14 ,FC Koln,34,10,6,18,51,69,-18,36
Bundesliga,2019/20,11 ,FC Union Berlin,34,12,5,17,41,58,-17,41
Bundesliga,2019/20,13 ,FSV Mainz 05,34,11,4,19,44,65,-21,37
Bundesliga,2019/20,5 ,Bayer Leverkusen,34,19,6,9,61,44,17,63
Bundesliga,2019/20,1 ,Bayern Munich,34,26,4,4,100,32,68,82
Bundesliga,2019/20,2 ,Borussia Dortmund,34,21,6,7,84,41,43,69
Bundesliga,2019/20,4 ,Borussia Monchengladbach,34,20,5,9,66,40,26,65
